Date,open,high,low,close,volume,dividends,stock splits,capital gains,5_day_MA,20_day_MA,60_day_MA
1993-04-26 00:00:00-04:00,24.792200228565456,24.880680600544633,24.50906303823209,24.57984733581543,62600,0.0,0.0,0.0,24.930236434936525,25.237269020080568,25.21740328470866
1993-04-27 00:00:00-04:00,24.544471030221708,24.845304489135742,24.544471030221708,24.845304489135742,156800,0.0,0.0,0.0,24.8559139251709,25.202761363983154,25.218762811024984
1993-04-28 00:00:00-04:00,24.809909523767203,24.862997775244594,24.756821272289812,24.792213439941406,85900,0.0,0.0,0.0,24.774512481689452,25.162060928344726,25.21630194981893
1993-04-29 00:00:00-04:00,24.84530346835854,24.898391723632812,24.703734787627155,24.898391723632812,85000,0.0,0.0,0.0,24.778052520751952,25.127553462982178,25.21473019917806
1993-04-30 00:00:00-04:00,24.986878475625094,25.075358923484956,24.933790206909176,24.93379020690918,88500,0.0,0.0,0.0,24.809909439086915,25.099239921569826,25.209345149993897
1993-05-03 00:00:00-04:00,24.969183094578838,25.093055725097656,24.863006554134138,25.093055725097656,80500,0.0,0.0,0.0,24.91255111694336,25.10543375015259,25.204853057861328
1993-05-04 00:00:00-04:00,25.146139731980174,25.270012341497317,25.11074755783242,25.18153190612793,149100,0.0,0.0,0.0,24.979796600341796,25.1098575592041,25.202129364013672
1993-05-05 00:00:00-04:00,25.18151595898249,25.34078064178702,25.18151595898249,25.252300262451172,109000,0.0,0.0,0.0,25.07181396484375,25.12135992050171,25.200585142771402
1993-05-06 00:00:00-04:00,25.216914229252165,25.234610309413043,25.14612990860865,25.16382598876953,54700,0.0,0.0,0.0,25.124900817871094,25.124014472961427,25.20050182342529
1993-05-07 00:00:00-04:00,25.18151925230127,25.18151925230127,25.07534278321216,25.110734939575195,68000,0.0,0.0,0.0,25.160289764404297,25.12578363418579,25.198946475982666
1993-05-10 00:00:00-04:00,25.14612990860865,25.305394630056558,25.14612990860865,25.16382598876953,113900,0.0,0.0,0.0,25.174443817138673,25.11251106262207,25.196221001942952
1993-05-11 00:00:00-04:00,25.16382968325575,25.27000617980957,25.093045352219868,25.27000617980957,42600,0.0,0.0,0.0,25.192138671875,25.101893043518068,25.198494466145835
