,Date,Prob,Label,Symbol
0,2024-05-23,0.48900345,1,KDP
1,2024-04-29,0.46102786,1,CTLT
2,2024-04-09,0.5875426,-1,CFG
3,2024-03-28,0.30288067,-1,OTIS
4,2024-05-13,0.12509027,1,AES
5,2024-04-18,0.39292595,1,CDW
6,2024-04-15,0.49492246,1,VRTX
7,2024-04-23,0.52277946,-1,CBRE
8,2024-04-08,0.44703758,-1,ALB
9,2024-04-19,0.46690592,1,CRWD
10,2024-05-16,0.3918786,1,J
11,2024-04-05,0.3437382,-1,HPQ
12,2024-04-10,0.5664982,1,CB
13,2024-04-25,0.29077628,-1,NEM
14,2024-05-15,0.49653503,-1,CPT
15,2024-04-09,0.54066634,-1,SWKS
16,2024-05-02,0.498925,1,GEHC
17,2024-04-25,0.3561017,-1,IPG
18,2024-04-04,0.23064585,-1,ROP
19,2024-05-08,0.51686525,-1,PH
20,2024-04-25,0.5408462,-1,ACN
21,2024-04-22,0.53392786,-1,ITW
22,2024-04-18,0.41416398,-1,PKG
23,2024-04-02,0.47039077,1,DLR
24,2024-04-05,0.48138788,1,COST
25,2024-05-23,0.13224871,-1,EMR
26,2024-05-14,0.572459,-1,FAST
27,2024-04-05,0.23240703,-1,TMO
28,2024-05-14,0.46488082,1,TRV
29,2024-04-25,0.35291258,1,EIX
30,2024-04-16,0.51620907,1,ITW
31,2024-04-12,0.59224427,-1,APTV
32,2024-05-01,0.4292664,1,AMCR
33,2024-05-21,0.65567887,-1,MGM
34,2024-04-29,0.48958892,1,O
35,2024-05-15,0.6101595,-1,VTRS
36,2024-05-03,0.49311268,1,HSIC
37,2024-05-08,0.5781743,1,MCD
38,2024-05-22,0.48257342,-1,HRL
39,2024-05-20,0.22374974,-1,COF
40,2024-04-04,0.60849696,-1,XEL
41,2024-04-22,0.5076148,-1,CTAS
42,2024-04-29,0.39690897,1,CPRT
43,2024-04-04,0.5158293,-1,ABNB
44,2024-04-24,0.58480597,1,EG
45,2024-05-22,0.35566097,-1,CARR
46,2024-05-06,0.40600386,1,BKNG
47,2024-04-30,0.5092507,-1,EQIX
48,2024-04-30,0.49874315,1,ADM
49,2024-05-22,0.53339124,1,CHTR
50,2024-04-23,0.58289737,-1,PNC
51,2024-04-22,0.39983264,1,CARR
52,2024-05-09,0.4964638,1,TECH
53,2024-05-13,0.5523008,1,CBRE
54,2024-05-06,0.47692302,1,WAT
55,2024-05-13,0.3968078,-1,KVUE
56,2024-04-22,0.28363577,-1,TSN
57,2024-03-28,0.53189033,-1,CVS
58,2024-04-24,0.6395028,-1,WYNN
59,2024-05-01,0.48614287,1,AAL
60,2024-03-28,0.46011534,1,CTRA
61,2024-04-22,0.59388256,-1,STX
62,2024-05-10,0.5775985,1,APH
63,2024-04-15,0.4027755,-1,LRCX
64,2024-04-29,0.2097073,1,ABNB
65,2024-05-13,0.42301562,1,NWSA
66,2024-05-13,0.5179016,-1,KEYS
67,2024-05-21,0.3564875,-1,TDG
68,2024-04-26,0.59628206,-1,CME
69,2024-04-15,0.54812276,1,FMC
70,2024-04-11,0.4770772,1,DFS
71,2024-04-05,0.42619762,-1,CHRW
72,2024-05-07,0.5140952,-1,APTV
73,2024-04-19,0.52701735,-1,EXPD
74,2024-04-29,0.5483382,1,FCX
75,2024-04-22,0.53830034,-1,AOS
76,2024-04-04,0.503418,1,PANW
77,2024-04-15,0.34077933,-1,HPQ
78,2024-05-17,0.55858606,-1,SRE
79,2024-05-08,0.7353756,1,MKTX
80,2024-05-20,0.23846471,-1,PFE
81,2024-04-30,0.49929354,1,MCHP
82,2024-04-26,0.53733724,1,MMM
83,2024-05-16,0.4319279,1,HPQ
84,2024-04-29,0.49145287,-1,CHD
85,2024-05-09,0.49900302,1,GRMN
86,2024-04-17,0.57445943,1,ADI
87,2024-04-19,0.3707261,-1,AJG
88,2024-04-24,0.46118093,1,VST
89,2024-04-03,0.51169264,-1,DVA
90,2024-05-01,0.45882934,1,XYL
91,2024-04-09,0.6992655,-1,ISRG
92,2024-05-10,0.55833113,1,MCO
93,2024-04-10,0.3925779,-1,FIS
94,2024-05-09,0.51660675,-1,TT
95,2024-05-01,0.4676649,1,RL
96,2024-04-22,0.54372865,-1,IBM
97,2024-05-09,0.45848337,1,WELL
98,2024-05-02,0.4026666,1,ARE
99,2024-04-15,0.51171196,-1,EXPD
100,2024-04-09,0.56866163,-1,SRE
101,2024-04-11,0.30759522,-1,INVH
102,2024-04-01,0.65391505,1,ADI
103,2024-05-21,0.6924349,-1,UDR
104,2024-05-01,0.4570034,1,TGT
105,2024-04-15,0.47555545,-1,LVS
106,2024-04-05,0.48787114,-1,RTX
107,2024-05-09,0.2623351,1,YUM
108,2024-04-09,0.6134108,-1,DVA
109,2024-04-22,0.40055406,-1,NWSA
110,2024-04-05,0.58768123,-1,KIM
111,2024-05-20,0.4409233,-1,DLR
112,2024-05-15,0.52628344,1,LIN
113,2024-05-06,0.5076309,1,AMP
114,2024-05-06,0.4571019,1,WFC
115,2024-05-16,0.4656709,-1,MRK
116,2024-05-03,0.6104202,-1,ROK
117,2024-05-01,0.37485045,1,MSFT
118,2024-05-08,0.4799795,-1,DVN
119,2024-05-22,0.5451707,1,CMCSA
120,2024-05-07,0.33433995,-1,AXON
121,2024-04-15,0.45211092,1,O
122,2024-03-28,0.61253697,-1,NI
123,2024-04-09,0.25664282,-1,MTCH
124,2024-04-17,0.47917718,1,MCD
125,2024-04-26,0.6802122,1,FMC
126,2024-05-01,0.4290923,1,RF
127,2024-04-19,0.3721293,1,CTRA
128,2024-05-06,0.34778008,1,BLK
129,2024-05-21,0.5417932,-1,AON
130,2024-04-25,0.44178703,-1,HSIC
131,2024-04-09,0.6215688,1,KDP
132,2024-05-22,0.59132683,1,FAST
133,2024-04-11,0.46858242,-1,APH
134,2024-04-12,0.21177049,-1,ON
135,2024-04-08,0.4444519,-1,HD
136,2024-05-15,0.55922705,1,APD
137,2024-04-24,0.5130784,1,MRNA
138,2024-04-11,0.45675927,-1,PHM
139,2024-05-07,0.49144408,-1,AKAM
140,2024-05-07,0.44456732,1,PG
141,2024-04-08,0.5327045,-1,WTW
142,2024-04-18,0.29139858,1,AVY
143,2024-04-17,0.41154796,1,PEG
144,2024-05-16,0.3844533,-1,BEN
145,2024-05-08,0.5067474,-1,NUE
146,2024-04-30,0.5064581,1,AIG
147,2024-05-06,0.5095981,-1,TGT
148,2024-04-19,0.41035828,1,HSIC
149,2024-04-05,0.3891028,-1,NRG
150,2024-05-01,0.5343381,1,ON
151,2024-04-16,0.66408885,-1,SNPS
152,2024-05-03,0.57092565,1,BDX
153,2024-04-16,0.5070867,1,RCL
154,2024-04-23,0.5250809,-1,WBD
155,2024-04-10,0.51136404,1,COR
156,2024-04-22,0.5078663,1,EQT
157,2024-05-08,0.5324267,1,PEG
158,2024-04-16,0.34522232,1,MKTX
159,2024-04-22,0.56117773,1,AWK
160,2024-05-22,0.21317944,1,AES
161,2024-05-20,0.52705365,-1,NEM
162,2024-04-05,0.43677223,-1,IRM
163,2024-04-02,0.5205912,-1,VZ
164,2024-05-14,0.5186524,-1,AOS
165,2024-04-30,0.2943771,1,UNH
166,2024-05-22,0.60921234,-1,ADBE
167,2024-05-06,0.48843488,1,CTRA
168,2024-05-15,0.44857973,-1,ALL
169,2024-04-05,0.521739,-1,REG
170,2024-04-23,0.4234557,-1,DTE
171,2024-05-15,0.5265708,-1,CBRE
172,2024-04-17,0.4573139,1,FANG
173,2024-05-07,0.5118083,1,ETR
174,2024-05-03,0.5134428,-1,DVA
175,2024-04-01,0.5298549,1,NEE
176,2024-05-14,0.55331373,-1,IDXX
177,2024-05-21,0.48646605,1,GRMN
178,2024-04-08,0.48461992,-1,FMC
179,2024-05-09,0.42747387,1,GDDY
180,2024-03-28,0.4249354,-1,ADBE
181,2024-04-05,0.36640725,-1,RMD
182,2024-05-16,0.46646655,1,VST
183,2024-04-12,0.3546514,1,EQIX
184,2024-04-18,0.33936748,1,TSN
185,2024-05-13,0.45517647,1,CARR
186,2024-05-08,0.48145896,1,BALL
187,2024-05-22,0.66655827,1,BK
188,2024-04-17,0.40838867,-1,RJF
189,2024-04-04,0.46291068,-1,XYL
190,2024-05-17,0.59089345,-1,AXON
