Unnamed: 0,code,date,preclose,open,high,low,close,tradestatus,volume,amount,class,ret,preopen,reto,close_f1,close_f2,close_f3,close_f4,close_f5,close_f10,ret_f1,ret_cf2,ret_cf3,ret_cf4,ret_cf5,ret_cf10,reto_f1,close_f20,close_f60,ret_cf20,ret_cf60,5_day_MA,20_day_MA,60_day_MA
1845227,000006.SZ,20100105,122.58,122.58,123.24,117.51,119.05,交易,131299.46,142031.4223,0,-2.879751998694731,124.9,-1.8574859887910389,119.38,118.39,121.26,118.06,123.24,123.13,0.2771944561108763,-0.5543889122217527,1.856362872742552,-0.831583368332629,3.51952960940781,3.427131457370851,-2.9694893131016484,112.11,130.08,-5.829483410331791,9.26501469970602,,,
10082548,000006.SZ,20100106,119.05,118.94,121.7,118.17,119.38,交易,138360.3,150037.7323,0,0.2771944561108763,122.58,-2.9694893131016484,118.39,121.26,118.06,123.24,119.27,117.84,-0.8292846372926745,1.5748031496063073,-1.1057128497235662,3.2333724241916566,-0.0921427374769638,-1.2899983246774938,0.5633092315453184,114.09,130.3,-4.431228011392187,9.147260847713198,,,
6881209,000006.SZ,20100107,119.38,119.61,120.82,116.85,118.39,交易,102246.2,110237.2296,0,-0.8292846372926745,118.94,0.5633092315453184,121.26,118.06,123.24,119.27,119.94,119.94,2.4241912323676025,-0.2787397584255413,4.09662978292085,0.7433060224681101,1.3092321986654254,1.3092321986654254,-1.3878438257670735,115.09,129.86,-2.7873975842554244,9.688318270124178,,,
3739338,000006.SZ,20100108,118.39,117.95,121.26,117.4,121.26,交易,89757.37,97512.1269,0,2.4241912323676025,119.61,-1.3878438257670735,118.06,123.24,119.27,119.94,122.25,115.31,-2.6389576117433635,1.6328550222661964,-1.6411017648029105,-1.0885700148441426,0.8164275111330982,-4.906811809335315,4.484951250529878,110.68,124.46,-8.725053603826487,2.638957611743352,,,
6591659,000006.SZ,20100111,121.26,123.24,123.24,117.62,118.06,交易,90467.25,97820.3591,0,-2.6389576117433635,117.95,4.484951250529878,123.24,119.27,119.94,122.25,123.9,113.21,4.387599525664911,1.0249025919024173,1.5924106386583057,3.549042859562932,4.9466373030662405,-4.108080636964263,-2.766958779617005,110.12,126.0,-6.725393867524986,6.725393867524986,119.228,,
6967823,000006.SZ,20100112,118.06,119.83,123.24,118.83,123.24,交易,269058.46,296197.2411,0,4.387599525664911,123.24,-2.766958779617005,119.27,119.94,122.25,123.9,123.13,108.58,-3.22135670236936,-2.6777020447906503,-0.8033106134371916,0.5355404089581393,-0.0892567348263546,-11.895488477766955,0.4589835600433924,109.35,126.55,-11.270691333982471,2.685816293411232,120.066,,
4091143,000006.SZ,20100113,123.24,120.38,121.81,119.05,119.27,交易,131979.86,143953.7178,0,-3.22135670236936,119.83,0.4589835600433924,119.94,122.25,123.9,123.13,117.84,109.24,0.5617506497862008,2.498532740840114,3.881948520164341,3.2363544898130288,-1.1989603420809865,-8.409491070679971,-0.1827546104003978,110.9,124.57,-7.01769095329923,4.443699169950531,120.044,,
634002,000006.SZ,20100114,119.27,120.16,120.49,117.62,119.94,交易,151667.31,163880.0598,0,0.5617506497862008,120.38,-0.1827546104003978,122.25,123.9,123.13,117.84,119.94,110.35,1.9259629814907475,3.3016508254127133,2.6596631649157896,-1.750875437718855,0.0,-7.995664498916128,0.4577230359520615,111.67,124.57,-6.8951142237785525,3.8602634650658634,120.354,,
6883080,000006.SZ,20100115,119.94,120.71,124.24,120.38,122.25,交易,163025.05,181116.2273,0,1.9259629814907475,120.16,0.4577230359520615,123.9,123.13,117.84,119.94,115.31,109.79,1.349693251533747,0.7198364008179922,-3.607361963190181,-1.8895705521472408,-5.67689161554192,-10.1922290388548,0.6378924695551407,111.78,112.44,-8.56441717791411,-8.024539877300615,120.552,,
2328818,000006.SZ,20100118,122.25,121.48,124.35,120.82,123.9,交易,119338.46,133363.6698,0,1.349693251533747,120.71,0.6378924695551407,123.13,117.84,119.94,115.31,113.21,113.32,-0.6214689265536806,-4.891041162227604,-3.196125907990321,-6.933010492332529,-8.627925746569824,-8.539144471347871,2.634178465591046,110.01,111.67,-11.210653753026634,-9.870863599677165,121.72,,
9029875,000006.SZ,20100119,123.9,124.68,125.01,122.25,123.13,交易,100400.2,112472.0119,0,-0.6214689265536806,121.48,2.634178465591046,117.84,119.94,115.31,113.21,108.58,112.11,-4.296272232599685,-2.5907577357264664,-6.351011126451712,-8.056525623324942,-11.816779014050187,-8.94989035978234,-0.5373756817452692,109.35,113.98,-11.19142369853001,-7.431170307804752,121.698,,
