,Date,Prob,Label
0,2023-02-28,0.52886826,1
1,2016-10-24,0.56734765,-1
2,2024-02-12,0.52844733,1
3,2022-05-05,0.51000226,-1
4,2022-11-11,0.5437262,-1
5,2020-07-15,0.5169435,1
6,2022-05-23,0.562058,1
7,2019-05-07,0.5237656,-1
8,2017-04-18,0.5397956,1
9,2018-12-17,0.52796596,-1
10,2020-08-18,0.4914865,1
11,2020-05-22,0.45615715,1
12,2017-03-30,0.5202062,-1
13,2023-12-01,0.5432851,1
14,2017-09-20,0.53100055,1
15,2021-09-22,0.5009861,-1
16,2020-11-30,0.5216574,1
17,2016-08-16,0.46917388,-1
18,2018-05-22,0.53288317,-1
19,2024-04-22,0.53886974,-1
20,2018-03-14,0.45705467,-1
21,2024-01-08,0.52760434,-1
22,2017-09-01,0.5459635,1
23,2022-06-28,0.52334523,1
24,2018-05-04,0.51996773,1
25,2015-12-15,0.5060352,-1
26,2015-10-07,0.46216953,1
27,2017-12-14,0.46476248,1
28,2022-01-21,0.53210115,1
29,2020-07-31,0.4953114,1
30,2022-04-19,0.49776167,-1
31,2015-10-23,0.50798506,1
32,2019-02-08,0.49517232,1
33,2019-02-27,0.49004033,-1
34,2018-10-08,0.5324945,-1
35,2015-11-27,0.48468718,-1
36,2020-02-10,0.49662513,1
37,2021-10-08,0.5188738,1
38,2024-01-25,0.5349687,1
39,2018-02-07,0.43709967,1
40,2021-01-05,0.48928195,1
41,2020-04-20,0.49903083,1
42,2019-01-04,0.55690753,1
43,2017-03-14,0.5111074,-1
44,2017-01-03,0.48512226,1
45,2021-05-06,0.46890622,-1
46,2023-02-09,0.55622506,-1
47,2019-10-09,0.51362723,1
48,2015-07-30,0.59628755,-1
49,2016-03-31,0.4720167,-1
50,2023-10-11,0.57225394,-1
51,2022-12-16,0.49491486,1
52,2019-11-29,0.51677275,1
53,2022-02-08,0.57297534,-1
54,2021-04-20,0.5179676,1
55,2016-10-06,0.60823387,-1
56,2022-01-04,0.5438955,1
57,2021-05-24,0.5045759,1
58,2021-06-10,0.5247633,-1
59,2020-10-26,0.51540023,-1
60,2019-09-05,0.5330699,1
61,2020-06-10,0.48459175,1
62,2018-01-22,0.50215846,-1
63,2017-06-26,0.48603213,1
64,2018-11-28,0.46610537,-1
65,2020-03-16,0.449674,-1
66,2016-03-14,0.5103707,1
67,2022-08-02,0.512577,1
68,2016-01-21,0.49101105,1
69,2020-01-06,0.50141823,1
70,2015-06-09,0.5021939,-1
71,2019-09-23,0.50468546,-1
72,2023-12-19,0.514754,1
73,2023-01-24,0.56976163,1
74,2018-06-08,0.4831418,-1
75,2021-03-16,0.5366353,-1
76,2021-08-18,0.49683726,1
77,2017-08-16,0.51437783,1
78,2017-07-31,0.48129842,-1
79,2023-11-14,0.5733408,1
80,2018-02-26,0.50451714,-1
81,2024-04-04,0.5325725,-1
82,2021-09-03,0.49060187,-1
83,2022-09-22,0.55280906,-1
84,2020-06-26,0.5079977,1
85,2022-07-15,0.5456047,1
86,2021-07-15,0.5108398,1
87,2022-10-26,0.54669404,-1
88,2018-09-20,0.52291983,-1
89,2016-11-28,0.54448044,1
90,2016-07-29,0.45536405,1
91,2021-10-26,0.5744273,1
92,2023-03-16,0.5274498,1
93,2015-11-10,0.44293147,1
94,2022-09-06,0.4785206,-1
95,2020-11-11,0.5428198,1
96,2019-06-27,0.5182961,1
97,2019-04-02,0.53664684,1
98,2021-04-01,0.54327875,1
99,2021-06-28,0.5192897,1
100,2021-11-11,0.4877232,1
101,2016-07-13,0.5218114,1
102,2019-04-18,0.53395045,1
103,2017-05-22,0.51335394,1
104,2016-05-20,0.53900206,1
105,2023-04-20,0.53639084,1
106,2017-01-20,0.4690796,1
107,2024-02-29,0.5165559,-1
108,2017-02-24,0.51829267,1
109,2021-01-22,0.47752392,-1
110,2020-10-08,0.5493183,1
111,2022-06-09,0.56103975,-1
112,2024-03-18,0.51544833,1
113,2023-01-05,0.5583138,1
114,2018-07-13,0.53883284,1
115,2018-01-03,0.53095835,1
116,2016-05-04,0.50887346,1
117,2023-09-25,0.55840874,-1
118,2021-12-16,0.51158684,1
119,2016-12-14,0.4610603,-1
120,2019-11-12,0.4832752,1
121,2018-07-31,0.52228755,1
122,2016-04-18,0.49328607,-1
123,2019-05-23,0.53309685,-1
124,2017-05-04,0.5640467,-1
125,2018-04-18,0.5327845,-1
126,2023-06-12,0.5303956,-1
127,2019-12-17,0.49183077,1
128,2017-11-09,0.4908089,-1
129,2022-10-10,0.5368601,1
130,2021-08-02,0.49671897,1
131,2023-08-03,0.53395194,-1
132,2018-06-26,0.51282465,1
133,2021-11-30,0.46716544,1
134,2022-11-30,0.5356494,-1
135,2023-04-03,0.5784509,-1
136,2017-10-24,0.49861294,1
137,2024-05-08,0.59310365,1
138,2018-09-04,0.4977905,1
139,2023-05-24,0.5080101,1
140,2023-07-18,0.53368294,1
141,2019-08-19,0.48423156,-1
142,2023-06-29,0.53442574,-1
143,2015-09-21,0.48775008,-1
144,2017-10-06,0.5178859,1
145,2023-05-08,0.49693188,-1
146,2016-11-09,0.5143755,1
147,2023-09-07,0.55405515,-1
148,2015-06-25,0.5750864,-1
149,2015-07-14,0.5645394,1
150,2021-02-09,0.5117082,1
151,2019-01-23,0.5540201,1
152,2016-02-25,0.54504806,1
153,2016-06-24,0.53613424,1
154,2019-03-15,0.4535695,-1
155,2020-02-27,0.47713673,1
156,2015-08-17,0.5617867,-1
