,Date,Prob,Label,,ALL TRUE,TN
140,5/8/24,0.49038187,1,-1,0,0
141,11/9/16,0.5251556,1,1,1,0
142,9/1/16,0.49981955,-1,-1,1,1
143,4/18/19,0.50822043,1,1,1,0
144,11/11/22,0.5261021,-1,1,0,0
145,7/15/22,0.5275789,1,1,1,0
146,9/22/21,0.51483476,-1,1,0,0
147,2/26/21,0.5238794,-1,1,0,0
148,8/2/21,0.5086516,1,1,1,0
149,4/20/21,0.50964075,1,1,1,0
150,9/6/22,0.5207435,-1,1,0,0
151,7/15/21,0.4617183,1,-1,0,0
152,1/4/16,0.51691484,-1,1,0,0
153,2/26/18,0.51553637,-1,1,0,0
154,1/21/16,0.53118014,1,1,1,0
155,6/8/16,0.49866375,-1,-1,1,1
156,9/4/18,0.5078019,1,1,1,0
157,5/20/16,0.5469159,1,1,1,0
158,10/6/17,0.5289648,1,1,1,0
159,11/11/20,0.51294565,1,1,1,0
160,1/5/21,0.5003617,1,1,1,0
161,12/17/18,0.518462,-1,1,0,0
162,11/28/17,0.5114652,1,1,1,0
163,11/9/17,0.4987464,-1,-1,1,1
164,10/8/21,0.53615916,1,1,1,0
165,8/3/23,0.5288088,-1,1,0,0
166,12/14/17,0.5166912,1,1,1,0
167,6/10/20,0.48989013,1,-1,0,0
168,7/13/16,0.5173601,1,1,1,0
169,10/26/20,0.5242632,-1,1,0,0
170,6/25/15,0.50172627,-1,1,0,0
171,7/30/15,0.5715395,-1,1,0,0
172,10/9/19,0.51486397,1,1,1,0
173,1/25/24,0.50912905,1,1,1,0
174,5/22/18,0.49166653,-1,-1,1,1
175,2/9/21,0.51326144,1,1,1,0
176,3/14/17,0.5246482,-1,1,0,0
177,5/22/17,0.5113994,1,1,1,0
178,10/27/23,0.5326241,1,1,1,0
179,3/31/16,0.48899412,-1,-1,1,1
180,9/22/20,0.51441705,1,1,1,0
181,12/19/23,0.50407857,1,1,1,0
182,11/11/21,0.48200816,1,-1,0,0
183,11/28/16,0.53803134,1,1,1,0
184,10/24/18,0.51602566,1,1,1,0
185,9/20/16,0.51938045,1,1,1,0
186,8/1/19,0.50884414,-1,1,0,0
187,11/30/22,0.5008175,-1,1,0,0
,,,,,101,22
,,,,,0.537234043,
