,Date,Prob,Label
0,2024-03-18,0.4057156,1
1,2023-12-01,0.57983875,1
2,2017-09-20,0.49256393,1
3,2017-10-24,0.53108376,1
4,2015-11-10,0.5144856,1
5,2017-02-07,0.483353,1
6,2019-05-07,0.51243263,-1
7,2020-02-10,0.5108553,1
8,2016-12-14,0.4821339,-1
9,2017-12-14,0.51737857,1
10,2022-08-02,0.49267846,1
11,2017-07-31,0.5150751,-1
12,2021-08-18,0.490539,1
13,2022-12-16,0.44280314,1
14,2023-12-19,0.5366658,1
15,2021-10-08,0.53594327,1
16,2020-06-26,0.47357753,1
17,2022-01-21,0.53300726,1
18,2016-06-24,0.5309651,1
19,2023-08-03,0.48027688,-1
20,2017-03-30,0.24964355,-1
21,2015-11-27,0.5519177,-1
22,2018-04-02,0.8097815,1
23,2020-05-06,0.4938557,-1
24,2019-10-25,0.2631458,1
25,2016-10-24,0.4975179,-1
26,2017-02-24,0.45705685,1
27,2023-04-03,0.6390576,-1
28,2023-02-09,0.5354747,-1
29,2018-10-24,0.53023034,1
30,2019-03-15,0.44618818,-1
31,2019-11-29,0.4971024,1
32,2018-01-22,0.46411228,-1
33,2016-07-29,0.48975623,1
34,2022-06-09,0.52061486,-1
35,2016-11-09,0.59519166,1
36,2020-09-03,0.44176254,-1
37,2021-01-22,0.41241306,-1
38,2020-11-11,0.572473,1
39,2021-07-15,0.5308572,1
40,2017-05-22,0.48858044,1
41,2019-11-12,0.47429645,1
42,2015-07-30,0.45238227,-1
43,2023-01-24,0.4208461,1
44,2021-11-30,0.5242489,1
45,2022-05-05,0.4666391,-1
46,2023-03-16,0.4927661,1
47,2017-06-26,0.42311966,1
48,2018-06-26,0.47683617,1
49,2018-06-08,0.40083703,-1
50,2016-07-13,0.543846,1
51,2021-11-11,0.61954683,1
52,2016-02-08,0.5055253,1
53,2019-09-05,0.5263848,1
54,2020-09-22,0.50215924,1
55,2018-09-04,0.5235967,1
56,2020-10-08,0.47255522,1
57,2023-10-11,0.55245286,-1
58,2017-07-13,0.50528026,1
59,2022-02-25,0.5585442,-1
60,2019-06-11,0.57500637,1
61,2019-04-18,0.5118491,1
62,2021-09-22,0.418843,-1
63,2019-12-17,0.4243401,1
64,2023-08-21,0.44258475,1
65,2018-07-31,0.50219405,1
66,2015-09-02,0.366321,1
67,2021-06-28,0.4918894,1
68,2017-11-09,0.44254574,-1
69,2022-03-31,0.52564687,-1
70,2022-09-06,0.49450848,-1
71,2019-09-23,0.59133065,-1
72,2016-02-25,0.5917671,1
73,2020-01-23,0.5250608,-1
74,2021-04-01,0.53909576,1
75,2019-08-19,0.53610235,-1
76,2018-05-04,0.56134886,1
77,2022-06-28,0.5445897,1
78,2019-07-16,0.45151582,1
79,2016-04-18,0.45647505,-1
80,2019-02-08,0.43159905,1
81,2015-09-21,0.5232216,-1
82,2015-10-07,0.44364172,1
83,2022-01-04,0.50946176,1
84,2023-09-07,0.42893293,-1
85,2022-10-10,0.52408653,1
86,2021-04-20,0.48528993,1
87,2017-01-03,0.51872027,1
88,2015-06-09,0.5416129,-1
89,2023-10-27,0.6365509,1
90,2019-05-23,0.4878049,-1
91,2019-06-27,0.5153108,1
92,2020-06-10,0.44095615,1
93,2020-11-30,0.5221532,1
94,2018-11-09,0.58756495,-1
95,2016-03-31,0.4922073,-1
96,2024-02-12,0.48858324,1
97,2015-06-25,0.5421149,-1
98,2019-02-27,0.5342236,-1
99,2018-12-17,0.45460808,-1
100,2017-03-14,0.4750979,-1
101,2020-08-18,0.565968,1
102,2021-05-24,0.51582235,1
103,2023-06-29,0.4722711,-1
104,2018-07-13,0.51492697,1
105,2015-07-14,0.708685,1
106,2016-01-04,0.48253927,-1
107,2018-04-18,0.5669725,-1
108,2023-05-08,0.48540065,-1
109,2024-01-25,0.5433605,1
110,2023-11-14,0.5307522,1
111,2018-08-16,0.4631331,1
112,2024-04-04,0.40130246,-1
113,2022-04-19,0.4763258,-1
114,2023-07-18,0.4293364,1
115,2024-02-29,0.5152829,-1
116,2018-10-08,0.5008864,-1
117,2020-01-06,0.5042729,1
118,2016-03-14,0.5259386,1
119,2023-01-05,0.49142677,1
120,2021-09-03,0.4709081,-1
121,2017-06-08,0.4299141,1
122,2016-08-16,0.48596013,-1
123,2023-06-12,0.49829456,-1
124,2021-08-02,0.49878353,1
125,2016-05-20,0.45655075,1
126,2021-02-09,0.5372145,1
127,2016-05-04,0.48929742,1
128,2022-08-18,0.53785545,-1
129,2019-01-04,0.5281556,1
130,2017-11-28,0.5296479,1
131,2021-02-26,0.4179444,-1
132,2020-07-31,0.4422341,1
133,2017-08-16,0.40327156,1
134,2022-10-26,0.54082984,-1
135,2022-09-22,0.44627652,-1
136,2024-04-22,0.4238714,-1
137,2021-05-06,0.4018044,-1
138,2023-05-24,0.4202487,1
139,2023-04-20,0.5447811,1
140,2021-10-26,0.48848352,1
141,2017-05-04,0.54771787,-1
142,2023-09-25,0.57333905,-1
143,2019-04-02,0.47579965,1
144,2022-02-08,0.6035311,-1
145,2019-10-09,0.5395349,1
146,2024-01-08,0.5232156,-1
147,2018-02-26,0.55512434,-1
148,2015-12-15,0.48717225,-1
149,2018-05-22,0.512179,-1
150,2019-01-23,0.48282832,1
151,2016-06-08,0.46579802,-1
